class, NOCom, NCLOC, DCP
./src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,4,68,65.66
./src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,6,77,58.6
./src/main/java/org/jfree/chart/annotations/Annotation.java,5,7,87.72
./src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,4,10,83.33
./src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,12,198,49.23
./src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,12,238,50.42
./src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,8,123,50
./src/main/java/org/jfree/chart/annotations/TextAnnotation.java,11,137,56.37
./src/main/java/org/jfree/chart/annotations/XYAnnotation.java,4,11,82.81
./src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java,5,7,89.06
./src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,10,176,48.54
./src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,10,159,52.54
./src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,12,143,47.04
./src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,12,134,50.74
./src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,13,180,45.62
./src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,12,252,48.99
./src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,13,171,46.73
./src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,11,152,44.12
./src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,14,282,51.63
./src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,15,212,40.95
./src/main/java/org/jfree/chart/api/HorizontalAlignment.java,2,6,87.5
./src/main/java/org/jfree/chart/api/Layer.java,2,5,86.49
./src/main/java/org/jfree/chart/api/LengthAdjustmentType.java,2,6,87.23
./src/main/java/org/jfree/chart/api/PublicCloneable.java,2,5,90.57
./src/main/java/org/jfree/chart/api/RectangleAlignment.java,2,80,37.5
./src/main/java/org/jfree/chart/api/RectangleAnchor.java,3,95,37.5
./src/main/java/org/jfree/chart/api/RectangleEdge.java,2,42,60.75
./src/main/java/org/jfree/chart/api/RectangleInsets.java,5,245,49.28
./src/main/java/org/jfree/chart/api/Rotation.java,2,12,82.09
./src/main/java/org/jfree/chart/api/SortOrder.java,2,5,88.64
./src/main/java/org/jfree/chart/api/TableOrder.java,2,5,88.64
./src/main/java/org/jfree/chart/api/UnitType.java,2,5,88.64
./src/main/java/org/jfree/chart/api/VerticalAlignment.java,2,6,87.5
./src/main/java/org/jfree/chart/api/XYCoordinateType.java,3,6,88.68
./src/main/java/org/jfree/chart/axis/Axis.java,15,789,48.63
./src/main/java/org/jfree/chart/axis/AxisCollection.java,8,49,61.42
./src/main/java/org/jfree/chart/axis/AxisLabelLocation.java,5,6,87.23
./src/main/java/org/jfree/chart/axis/AxisLocation.java,9,26,67.9
./src/main/java/org/jfree/chart/axis/AxisSpace.java,7,189,44.74
./src/main/java/org/jfree/chart/axis/AxisState.java,7,66,62.29
